Movie ID, Movie Name
8,Edison Kinetoscopic Record of a Sneeze (1894)
91,Le manoir du diable (1896)
417,Le voyage dans la lune (1902)
628,The  s of Dollie (1908)
833,The Country Doctor (1909)
1223,Frankenstein (1910)
1740,The Lonedale Operator (1911)
2101,Cleopatra (1912)
2130,Linferno (1911)
2844,Fantmas - lombre de la guillotine (1913)
4099,His Majesty  the Scarecrow of Oz (1914)
4936,The Bank (1915)
4972,The Birth of a Nation (1915)
5078,The Cheat (1915)
5530,Lhrosme de Paddy (1915)
6684,The Fireman (1916)
6689,The Floorwalker (1916)
7264,The Rink (1916)
7880,Easy Street (1917)
8133,The Immigrant (1917)
8395,Otets Sergiy (1918) 
9018,A Dogs Life (1918)
9968,Broken Blossoms or The Yellow Man and the Girl (1919)
10247,Herr Arnes pengar (1919)
10323,Das Cabinet des Dr. Caligari (1920)
11267,Headin Home (1920)  
11508,Neighbors (1920)
11541,One Week (1920)
11607,Prstnkan (1920)
11717,The Son of Tarzan (1920)
12278,The High Sign (1921)
12349,The Kid (1921)
12364,Kîrkarlen (1921)
12651,Schlo· Vogeloed (1921)
13025,Cops (1922)
13086,Dr. Mabuse  der Spieler - Ein Bild der Zeit (1922)
13257,Hxan (1922)
13427,Nanook of the North (1922)
13442,Nosferatu  eine Symphonie des Grauens (1922)
14142,The Hunchback of Notre Dame (1923)
14341,Our Hospitality (1923)
14429,Safety Last (1923)
14538,Three Ages (1923)
14624,A Woman of Paris A   of Fate (1923)
14872,Entracte (1924)
14972,He Who Gets Slapped (1924)
15002,Hot Water (1924)
15064,Der letzte Mann (1924)
15163,The Navigator (1924)
15174,Die Nibelungen Kriemhilds Rache (1924)
15175,Die Nibelungen Siegfried (1924)
15324,Sherlock Jr. (1924)
15361,Stachka (1925)
15400,The Thief of Bagdad (1924)
15532,Die Abenteuer des Prinzen Achmed (1926)  
15624,The Big Parade (1925)
15648,Bronenosets Potyomkin (1925)
15864,The Gold Rush (1925)
15881,Greed (1924)
16172,Oh Doctor (1925) 
16220,The Phantom of the Opera (1925)
16230,The Pleasure Garden (1925)
16332,Seven Chances (1925)
16600,Along Came Auntie (1926)
16847,Faust - Eine deutsche Volkssage (1926)
16903,45 Minutes from Hollywood (1926)
17075,The Lodger A Story of the London Fog (1927)
17136,Metropolis (1927)
17196,Nana (1926)
17350,The Scarlet Letter (1926)
17463,3 Bad Men (1926)
17729,Call of the Cuckoo (1927)
17765,College (1927)
17825,Downhill (1927)
17836,Duck Soup (1927)
17843,Easy Virtue (1928)
17925,The General (1926)
18033,It (1927)
18037,The Jazz Singer (1927)
18106,Love Em and Weep (1927)
18217,Oktyabr (1928)
18328,The Ring (1927)
18368,The Second 100 Years (1927)
18452,Sugar Daddies (1927)
18455,Sunrise A Song of Two Humans (1927)
18528,The Unknown (1927)
18578,Wings (1927)
18583,With Love and Hisses (1927)
18737,Die BÅchse der Pandora (1929)
18742,The Cameraman (1928)
18773,The Circus (1928)
18806,The Crowd (1928)
18860,Early to Bed (1928)
18876,The Farmers Wife (1928)
18890,The Finishing Touch (1928)
19109,Lonesome (1928)
19130,The Man Who Laughs (1928)
19195,The Mysterious Lady (1928)
19254,La passion de Jeanne dArc (1928) 
